Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2016/1 - elaborazione del 01-SET-20;;;;;;;;;;;;;;;
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;Zona_Descr;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;'CENTRO STORICO -DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI';MI00003228;20;Abitazioni civili;N;2
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';MI00003232;20;Abitazioni civili;N;3
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;'CENTRO STORICO - BRERA';MI00003544;20;Abitazioni civili;O;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';MI00003545;20;Abitazioni civili;O;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';MI00004767;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;'TURATI, MOSCOVA, CORSO VENEZIA';MI00004768;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';MI00004769;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;'PORTA VIGENTINA, PORTA ROMANA';MI00004770;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';MI00004771;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;'PISANI, BUENOS AIRES, REGINA GIOVANNA';MI00000307;20;Abitazioni civili;N;22
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;'CITY LIFE';MI00003667;20;Abitazioni civili;O;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;'PORTA NUOVA';MI00003668;20;Abitazioni civili;O;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C15;'STAZIONE CENTRALE VIALE STELVIO';MI00003669;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C16;'CENISIO, FARINI, SARPI';MI00004772;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C17;'SEMPIONE, PAGANO, WASHINGTON';MI00004773;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C18;'SOLARI, P.TA GENOVA, ASCANIO SFORZA';MI00004774;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C19;'TABACCHI, SARFATTI, CREMA';MI00004775;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C20;'LIBIA, ,XXII MARZO, INDIPENDENZA';MI00004776;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D10;'PARCO LAMBRO, FELTRE, UDINE';MI00000317;20;Abitazioni civili;N;32
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D12;'PIOLA, ARGONNE, CORSICA';MI00000319;20;Abitazioni civili;N;34
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D13;'LAMBRATE, RUBATTINO, ROMBON';MI00000320;20;Abitazioni civili;N;35
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D15;'FORLANINI, MECENATE, ORTOMERCATO, SANTA GIULIA';MI00000322;20;Abitazioni civili;N;37
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D16;'TITO LIVIO, TERTULLIANO, LONGANESI';MI00000323;20;Abitazioni civili;N;38
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D18;'MAROCCHETTI, VIGENTINO, CHIESA ROSSA';MI00000325;20;Abitazioni civili;N;40
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D20;'ORTLES, SPADOLINI, BAZZI';MI00000327;20;Abitazioni civili;N;42
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D21;'BARONA, FAMAGOSTA, FAENZA';MI00000328;20;Abitazioni civili;N;43
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D24;'SEGESTA, ARETUSA, VESPRI SICILIANI';MI00000331;20;Abitazioni civili;N;46
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D25;'LORENTEGGIO, INGANNI, BISCEGLIE, SAN CARLO B.';MI00000332;20;Abitazioni civili;N;47
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D28;'IPPODROMO, CAPRILLI, MONTE STELLA';MI00000335;20;Abitazioni civili;N;50
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D30;'MUSOCCO, CERTOSA, EXPO, C.NA MERLATA';MI00004777;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D31;'BOVISA, BAUSAN, IMBONATI';MI00004778;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D32;'BOVISASCA, AFFORI, P. ROSSI , COMASINA';MI00004779;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D33;'NIGUARDA, BIGNAMI, PARCO NORD';MI00004780;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D34;'SARCA, BICOCCA';MI00004781;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D35;'MONZA, CRESCENZAGO, GORLA, QUARTIERE ADRIANO';MI00004782;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;D36;'MAGGIOLINA, PARCO TROTTER, LEONCAVALLO';MI00004783;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;E5;'BAGGIO, Q. ROMANO, MUGGIANO';MI00004784;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;E6;'GALLARATESE, LAMPUGNANO, P. TRENNO, BONOLA';MI00004785;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;E7;'MISSAGLIA, GRATOSOGLIO';MI00004786;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;E8;'QUARTO OGGIARO, SACCO';MI00004787;20;Abitazioni civili;N;0
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;R;R2;'RONCHETTO, CHIARAVALLE, RIPAMONTI';MI00004391;0;Non presente;;0
